session_id,game_name,player_a_id,player_b_id,player_a_strategy,player_b_strategy,winner,turns,forfeited_by,invalid_moves_a,invalid_moves_b,total_moves_a,total_moves_b,pareto_efficiency
sess_f49e33fb2c,tictactoe,A_mcts_200,B_direct_llama-3.1-8b-instant,mcts,direct,player_a,5,,0,0,3,2,
sess_d4c332f5cb,tictactoe,A_mcts_200,B_direct_llama-3.1-8b-instant,mcts,direct,player_a,7,,0,0,4,3,
sess_b0e1c9f9ab,nim,A_mcts_200,B_direct_llama-3.1-8b-instant,mcts,direct,player_a,6,,0,0,3,3,
sess_5e74bb091f,nim,A_mcts_200,B_direct_llama-3.1-8b-instant,mcts,direct,player_a,6,,0,0,3,3,
sess_3295a4c86f,tictactoe,A_direct_llama-3.1-8b-instant,B_mcts_200,direct,mcts,player_b,8,,0,0,4,4,
sess_c10ff6789f,tictactoe,A_direct_llama-3.1-8b-instant,B_mcts_200,direct,mcts,player_b,8,,0,0,4,4,
sess_a56c632feb,nim,A_direct_llama-3.1-8b-instant,B_mcts_200,direct,mcts,player_b,5,,0,0,3,2,
sess_4ebd3f3d3c,nim,A_direct_llama-3.1-8b-instant,B_mcts_200,direct,mcts,player_a,6,,0,0,3,3,
sess_158ee1760f,tictactoe,A_mcts_200,B_cot_llama-3.1-8b-instant,mcts,cot,player_a,7,,0,0,4,3,
sess_b75e1ea15e,tictactoe,A_mcts_200,B_cot_llama-3.1-8b-instant,mcts,cot,player_a,5,,0,0,3,2,
sess_3979985e55,nim,A_mcts_200,B_cot_llama-3.1-8b-instant,mcts,cot,player_a,4,,0,0,2,2,
sess_0f9d2bd403,nim,A_mcts_200,B_cot_llama-3.1-8b-instant,mcts,cot,player_b,7,,0,0,4,3,
sess_a0a41537d8,tictactoe,A_cot_llama-3.1-8b-instant,B_mcts_200,cot,mcts,player_b,8,,0,0,4,4,
sess_49b19ab6f4,tictactoe,A_cot_llama-3.1-8b-instant,B_mcts_200,cot,mcts,player_b,8,,0,0,4,4,
sess_55437d65a5,nim,A_cot_llama-3.1-8b-instant,B_mcts_200,cot,mcts,player_b,5,,0,0,3,2,
sess_b27ab7d8bd,nim,A_cot_llama-3.1-8b-instant,B_mcts_200,cot,mcts,player_b,7,,0,0,4,3,
